肌肉无力,Muscle weakness|
忧郁,melancholia|cafard|megrim|melancholy|moodiness|moody|gloom|melancholy|
石骨症,Albers Schonberg disease|
骨痛,bone ache|ostealgia|osteodynia|bone ache|osteodynia|ache,bone|bone ache|ostalgia|ostealgia|osteodynia|
肺隔离症,pulmonary sequestration|sequestration of lung|
支气管肺隔离症,bronchopulmonary sequestration|
显微镜下多动脉炎,
大叶藻,Zostera marina|
喂食困难,
吞咽困难,dyscatabrosis|dysphagia|dysphagy|dysphagia|acataposis|deglutitio impedita|dysphagia|
耳前淋巴结肿大,
淋巴结肿大,enlargement of lymph nodes|lymphadenectasis|enlargement of lymph nodes|lymphadenectasis|
低分子蛋白尿,
蛋白尿,albuminuria|edema proteinuria hypertension syndrome|serumuria|proteinuria|albuminuria|hyperproteinuria|leukuresis|proteinuria|proteuria|serumuria|
晕动病,kinesia|kinetia|
疑病,HS|hypo|hypochondriasis|
疑病症,hypochondria|hypochondriasis|hypochondria|nosomania|hypochondria[sis]|
咽部异物感,
运铁蛋白,transferrin|siderophilin|transferrin|
全身过敏反应,
过敏,irritability|irritability|sensitivity|hypersensitiveness|hypersusceptibility|irritability|supersensitivity|
收缩期杂音,systolic murmur|systolic murmur|
心脏杂音,cardiac murmur|heart murmur|cardiac murmur|cardiac souffle|cardiac murmur|cardiac souffle|heart murmur|HM|murmur|
四肢无力,myasthenia of limbs|myasthenia of limbs|general fatigue|myasthenia of limbs|
肌无力,amyasthenia|anyosthenia|myasthenia|myo asthenia|amyasthenia|amyosthenia|muscle weakness|myasthenia|myoasthenia|
变应性鼻炎,allergic rhinitis|allergicrhinitis|anaphylactic rhinitis|anaphylacticrhinitis|rhinallergosis|allergic rhinitis|AR|hyperesthetic rhinitis|paroxysmal rhinorrhea|periodic rhinitis|Rh aller|rhinallergosis|rhinitis allergica|
精神障碍,phrenoblabia|psychonosema|mental disturbance|psychogenia|alleosis|alloeosis|dysphrenia|mental aberration|mental disease|mental disorder|psychogenia|psychogeny|psychonosema|
胸廓异常,
胸痛,chest pain|pectoralgia|thorcalgia|chest pain|pectoralgia|thorcalgia|chest complaint|chest pain|CP|pectoralgia|stethalgia|thoracalgia|thoracodynia|
神经衰弱综合征,neurasthenic syndrome|
中性粒细胞增高,
中性粒细胞升高,
声带息肉,polyp of vocal cord|polyp of cord|polyp of vocal cord|
血吸虫病,bilharziasis|schistosomiasis|bilharziosis|schistosomiasis|bilharziasis|bilharziosis|hemic distomiasis|schistosomiasis|
静脉栓塞,venous embolism|
绝经,change of life|menopause|menostasis|sexuali|
经闭,amenia|amenorrhea|menostasis|amenia|amenorrhea|menischesis|suppressed menstruation|suppression of menses|AM|amenia|amenorrhea|menischesis|menoschesis|menostasis|suppression of menses|
阴茎纤维性海绵体炎,fibrous cavernositis of penis|peyronies disease|fibrous cavernositis of penis|
阴茎硬结症,induration of penis|
多莉,
气急,short breath|shortbreath|breath lessness|
明器,
角膜病变,keratopathy|
脊柱弯曲,campylorrhachia|campylorrhichia|rachiocampsis|rhachiocampsis|spinal curvature|
风府穴,
惺惺,
凝血障碍,disturbance of blood coagulation|
食管闭锁,esophageal atresia|atresia of oesophagus|atretolemia|esophageal atresia|
意识丧失,loss of consciousness|uncon|loss of consciousness|LOC|loss of consciousness|UC|UCS|unc.|unconscious|unconsciousness|
晕厥,apsychia|exanimation|faint|syncope|?swoon|apsychia|eclipsis|exanimation|faint|lipothymia|pale complexion and even syncope|swoon|apopsychia|apsychia|eclipsis|exanimation|faint|fainting|leipothymia|lipothymia|lipsis animi|shock|swoon|syncope|
细菌性心内膜炎,bacterial endocarditis|BE|
心内膜炎,endocarditis|endocarditis|encarditis|endocarditis|
白细胞升高,
尿失禁,urinary incontinence|incontinence of urine|uracratia|urinary incontinence|anischuria|enuresis|incontinence of urine|incontinentia urina|uracratia|urinary incontinence|uroclepsia|
脑瘫,cerebral palsy|
蜂窝组织炎,cellulitis|cellulitis|phlegmon|cellulitis|
蜂窝织炎,cellulitis|phlegmon|phlegmona|cellulitis|phlegmon|cellularis phlegmasia|dermatocellulitis|ethmophlogosis|ethmyphitis|phlegmon|phlegmona|phlegmonous cellulitis|
食管腔狭窄,
食管狭窄,esophagostenosis|esophageal stenosis|esophageal stricture|esophagostenosis|laemostenosis|lemostenosis|oesophageal stricture|oesophagostenosis|
龋齿,a decayed tooth|decayed teeth|dental caries|dentalcaries|saprodontia|a decayed tooth|caries|dental caries|dental caries|dental necrosis|eurodontia|saprodontia|
蛀牙,decayed teeth|
表皮样癌,epidermoid carcinoma|epidermoid carcinoma|
中脘,Middle Epigastrium|Zhongwan|the middle part of gastric cavity|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
普通型偏头痛,Common migraine|
皮肤黏膜出血,
皮肤出血,dermatorrhagia|dermorrhagia|dermatorrhagia|
心脏神经官能症,cardiac neurosis|
心脏神经症,cardiac neurosis|heart neurosis|Cardioneurosis|
肝功能损害,
咽反射,pharyngealreflex|gag reflex|pharyngeal reflex|
咽部异物,foreign body in pharynx|forein body in pharynx|
鼠疫,black death|pestis|plague|black death|pest|the black plague|anthracia pestis|lues|pest|pestis|plague|Saint Roch's disease|Saint Sebastian's disease|
细菌性感染,bacterial infection|Bacterial infection|
瘙痒,itching|pruritus|pruritus|
皮肤瘙痒,cutaneous of pruritus|cutaneous pruritus|skin pruritus|Itch of skin|
剧痛,baryodynia|megalgia|a severe pain|anguish|aony|be frantic with pain|excruciatin|excruciating pain|fierce pain|fiery pain|pang|sharp frosr|sharp pain|agonia|agony|baryodynia|megalgia|pang|throe|torture|torua|
上腹部剧痛,
免疫缺陷,immunodeficiency|immunologic deficiency|ID|immune defect|immune deficiency|immunodeficiency|immunologic deficiency|immunologic deficit|
免疫缺陷病,immunologic deficiency disease|immunologic deficiency disease|ID|immunologic deficiency disease|
前列腺硬结,
寒战,chill|rigor|shiver with cold|chill|cold shivers|rigor|shiver|shiver with cold|ague|algor|CFNS|chill|shakes|shiver|
蛋白尿,albuminuria|edema proteinuria hypertension syndrome|serumuria|proteinuria|albuminuria|hyperproteinuria|leukuresis|proteinuria|proteuria|serumuria|
肠梗死,
肠梗阻,ileus|intestinal obstruction|the blind gut|ileus|intestinal obstruction|intestinal obstructiono|the blind gut|BO|bowel obstruction|ileac passion|ileus|intestinal obstruction|IO|IOb|
打嗝,belching|hiccough|hiccup|belch|belching|eruct|eructate|eructation|hiccup|hiccup|
气逆,reversed flow of qi|abnormal rising of the qi|abnormal rising of vital energy|acverseness of the vital energy|adverse flow of qi|reversed flow of qi|the adverse flow of qi|abnormal rising of vital energy|adverse rising of qi|
阵发性呼吸困难,paroxysmal dyspnea|paroxysmal dyspnea|pseudoasthma|paroxysmal dysplasia|
遗忘症,amnesia|amnesia|amnestic disorder|
排尿障碍,urinary dysfunction|
排尿费力,
免疫损害,
强的松,delta cortisone|deltacortisone|metacortandracin|prednisone|prednisone|dehydrocortisone|deltacortisone|metacortandracin|prednis.|rectodelt|
神经性头痛,nervous headache|Algopsychalia|
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
血管神经性水肿,angioedema|angioneuro edema|angioneuroedema|angioneuro edema|acute circumscribed edema|acute essential edema|AE|angioneuroedema|angioneurotic edema|circumscribed edema|hydrops hypostrophos|migratory edema|Quincke's edema|urticaria edematosa|urticaria tuberosa|Angioedema|
单纯性疱疹,herpes simplex|herpessimplex|herpes catarrhalis|herpes simplex|HS|hydroa febrile|
热疮,herpes simplex|perioral herpetic dermatitis|summer carbuncle|
乳腺导管扩张症,
浆细胞性乳腺炎,plasma cell mastitis|plasma cell mastitis|
黑素细胞痣,melanocytic nevus|
脂肪浸润,adipose infiltration|fatty infiltration|adipose infiltration|fatty infiltration|
肝内脂肪浸润,
心悸,cardio palmus|palpitation|palpitation of the heart|heart palpitation|palpitate|palpitation of the heart|cardiopalmus|palmus|palpitation|trepidatio cordis|
月经稀少,infrequent menstruation|oligohypomenorrhea|scanty menstruation|scantymenstruation|infrequent menses|infrequent menstruation|scantymenstruation|infrequent menstruation|
月经量少,
视网膜动脉硬化,arteriosclerosis of retina|arteriosclerosis of retina|retinal arteriosclerosis|
急性腹痛,acute abdominal pain colic intestinal colic|acute abdominalgia|acute abdominal pain colic intestinal colic|acute abdominalgia|cramp|Acute abdominal pain|
普通感冒,common cold|commoncold|common cold|
脑蛛网膜下腔出血,
痰血,bloody phlegm|
唾血,
柯兴综合征,Cushing's syndrome|
局部淋巴结肿大,
胶质瘤,glioma|neurogliocytoma|neurospongioma|
胶质细胞瘤,gliocytoma|spongiocytoma|
攒竹,tsanchu|Gathering Eyebrows|Zanzhu|
光明,Bright Light|Guangming|
安坦,antan|arant|artane|parkan|romparkin|tremin|trihexyphenidy hydrochloride|tsiklodol|romparkin|antan|artane|benzhexol hydrochloride|parkan|romparkin|Sch-1418|tremin|triesifenidile|trihexyphenidyl|trihexyphenidyl hydrochloride|tsiklodol|Win 511|
苯海索,benzhexol|trihexyphenidyl hydrochloride|trihexyphenidyl|
核黄疸,kernicterus|kernicterus|KI|nuclear jaundice|Schmorl's jaundice|
黄疸,icterus|jaundice|icterrus|jaundice|the yellows|aurigo|choloplania|flavedo|icterus|Jaun|jaundice|morbus arcuatus|morbus regius|
葡聚糖,dextran|glucan|glucosan|polygluosan|dextran|DX|glucan|glucosan|glycans|polyglucosan|
右旋糖酐,dextran|intradex|dextran|DX|intradex|
科素亚,
血压低,
血压偏低,
回馈,
上呼吸道感染,upper respiratory infection|upper respiratory tract infection|upper respiratory tract infection|upper respiratory infection|upper respiratory tract infection|URI|URTI|
室上性心律失常,SA|supraventricular arrhythmia|
心律失常,cardiac arrhythmia|arrhythmia|arrhythmia cordis|cardiac arrhythmia|timid arrhythmia|arhythmia|Arrhy|arrhythmia|CA|cardiac arrhythmia|cardiac dysrhythmia|CD|
攒竹,tsanchu|Gathering Eyebrows|Zanzhu|
夜光,
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
糖原累积症,Pompe's syndrome|
糖原贮积病,①glycogenosis ②glycogen storage disease|dextrinosis|glycogen storage disease|glycogenic hepatomegaly|glycogenstorage disease|GSD|hepatomegalia glycogenica|
淋巴结结核,evil|crewels|glandular phthisis|lymphadenitis scrofulosa|lymphoid tuberculosis|
瘰疬,scrofula|crewels|scrofula|struma|
阵发性室性心动过速,paroxysmal ventricular tachycardia|paroxysmal ventricular tachycardia|PVT|
组胺,beta-imidazolyle thylamine|ergamine|histamine|beta-imidazolyle thylamine|ergamine|Hi|Hist|histamine|Ht|β-amino-ethy-glyoxaline|
组织胺,histamine|histamine|histamine|histamine|HA|
十二指肠炎,duodenitis|duokenitis|Di|dodecadactylitis|duodenitis|
先天性心脏病,congenital heart disease|congential heart disease|congenital heart disease|CC|CHD|congenital cardiopathy|congenital heart disease|
小儿弱智,
精神发育迟滞,
静脉血栓,phlebothrombosis|
血栓性静脉炎,thrombophlebitis|
心悸,cardio palmus|palpitation|palpitation of the heart|heart palpitation|palpitate|palpitation of the heart|cardiopalmus|palmus|palpitation|trepidatio cordis|
面部多毛,
多毛症,polytrichia|hirsuties|hirsutism|hypertrichiasis|hypertrichosis|hirsutism|hypertrichiasis|polytrichia|
血肿形成,
下肢深静脉血栓形成,
心脏增大,cardiac enlargement|cardiac enlargement|cardiac enlargement|
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
呼吸道梗阻,respiratory tract obstruction|
元气虚弱,
对称性肌无力,
肌无力,amyasthenia|anyosthenia|myasthenia|myo asthenia|amyasthenia|amyosthenia|muscle weakness|myasthenia|myoasthenia|
单宁,tannin|
鞣酸,digallic acid|digallicacid|gallicum|scytodepsium|tannic acid|digallic acid|gallicum|scytodepsium|tannic acid|
上呼吸道感染,upper respiratory infection|upper respiratory tract infection|upper respiratory tract infection|upper respiratory infection|upper respiratory tract infection|URI|URTI|
水样便,watery stool|Liquid stools|
先天性梅毒,congenital syphilis|congenital syphilis|CS|lues congenita|
胎传梅毒,syphilis congenita|
胸膜肥厚,pachynsis pleurae|pleural thickening|pachynsis pleurae|
胸膜增厚,pleural thickening|pleural thickening|PLT|thickened pleura|
胃排空延缓,
胃脘胀满,
大便溏泄,loose stool with indigested grains|
焦虑状态,anxiety state|state of anxiety|anxiety state|SA|state of anxiety|
脑出血,cerebral hemorrhage|encephalorrhagia|cerebral hemorrhage|brain hemorrhage|cerebral hemorrhage|encephalorrhagia|hematencephalon|
软骨肉瘤,chondrosarcoma|chondroma sarcomatosum|chondrosarcoma|ChS|sarcoenchondroma|
尿常规异常,
尿异常,
元宝草,St. Johnswort|
急性胃炎,acute gastritis|acute gastritis|acute gastritis|
传导阻滞,block|blocking|conduction block|CB|conduction blockade|heart block|interruption|
窦房传导阻滞,sinoatrial block|sinoatrial block|S-A block|sinoatrial block|sino-atrial block|sino-auricular block|
心音微弱,
心脏杂音,cardiac murmur|heart murmur|cardiac murmur|cardiac souffle|cardiac murmur|cardiac souffle|heart murmur|HM|murmur|
内分泌功能减退,hypoendocrinism|hypohormonism|hypohormonism|hypoendocrinism|hypoendocrisia|hypohormonism|
肾小球肾炎,glomerulonephritis|glomerular nephritis|GN|
干性坏疽,dry gangrene|dry gangrene|mummification necrosis|
坏疽,gangrene|mortification|mortificationa|gangrene|mortification|gangr.|gangrene|mortification|sphacelus|thanatosis|
神疲乏力,general lassitude|listlessness|
呼吸不规则,
呼吸困难加重,
肾脏受累,
肾损伤,injury of kidney|trauma of kidney|kidney injury|renal injury|
视力模糊,blurred vision|blurring of vision|blurred vision|
持续性咳嗽,
细菌性感染,bacterial infection|Bacterial infection|
微血栓形成,
脑血栓形成,cerebral thrombosis|
尺泽,chize|Chize|One-foot Marsh|
劳累后心悸,
心悸,cardio palmus|palpitation|palpitation of the heart|heart palpitation|palpitate|palpitation of the heart|cardiopalmus|palmus|palpitation|trepidatio cordis|
喉中痰鸣,rattles in the throat|sputum rumbling in the throat|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
老年收缩期高血压,
老年人高血压,
反复呕血,
呕血,hematemesis|hematemesis|haematemesis|hematem.|hematemesis|vomitus cruentus|
丘疹性荨麻疹,papular urticaria|urticaria papulosa|lichen urticatus|papular urticaria|strophulus|
妄想阵发,bouffee delirante|
喉阻塞,laryngeal obstruction|laryngemphraxis|laryngostasis|laryngostasis|laryngeal obstruction|laryngemphraxis|laryngostasis|suffocative cynanche|
大动脉炎,aorto arteritis|aortoarteritis|aorto-arteritis|Takayasu's arteritis|
四肢瘫痪,quadriplegia|tetraplegia|quadriplegia|tetraplegia|
四肢瘫,tetraplegia|quadriplegia|
意识丧失,loss of consciousness|uncon|loss of consciousness|LOC|loss of consciousness|UC|UCS|unc.|unconscious|unconsciousness|
攒竹,tsanchu|Gathering Eyebrows|Zanzhu|
肌肉压痛,
眼皮,
橘黄,
支气管扩张,bronchodilatation|bronchiect.|bronchiectasia|bronchiectasis|bronchodilation|
支气管扩张症,bronchiectasis|bronchiectasis|bronchiectasis|
腹部肿块,abdominal mass|abdominalmass|abdominalmass|mass in the abdomen|abdominal mass|
歇斯底里,hysteria|hysterism mythoplasty|HY|HYS|hysteria|hysterism|
出冷汗,be in a cold sweat|
冷汗,cold sweat|a cold sweat|clammy perspiration|Cold sweat|
室早,
铁锈色痰,rusty sputum|resty expectoratio|rusty sputum|rusty expectoration|rusty sputum|
咳脓痰,vomica|vomica|vomica|
胃肠道出血,gastrointestinalbleeding|hemorrhage of gastrointestinal tract|gastrointestinal bleeding|GIB|
胃出血,gastric hemorrhge|gastrorrhagia|stomack hemorrhage|gastric bleeding|gastric hemorrhage|gastrorrhagia|
